start,end,keyDownNormal,keyDownDel,keyDownCtrl,keyDownNav,state
1371377474403,1371377474903,2,0,0,0,H3
1371377474903,1371377475403,4,0,0,0,H3
1371377475403,1371377475903,3,0,0,0,H3
1371377475903,1371377476403,0,0,0,0,H2
1371377476403,1371377476903,0,0,0,0,H2
1371377476903,1371377477403,0,0,0,0,H2
1371377477403,1371377477903,0,0,0,0,H2
1371377477903,1371377478403,0,0,0,0,H2
1371377478403,1371377478903,0,0,0,0,H2
1371377478903,1371377479403,0,0,0,0,H2
1371377479403,1371377479903,0,0,0,0,H2
1371377479903,1371377480403,0,0,0,0,H2
1371377480403,1371377480903,0,0,0,0,H2
1371377480903,1371377481403,0,0,0,0,H2
1371377481403,1371377481903,0,0,0,0,H2
1371377481903,1371377482403,0,0,0,0,H2
1371377482403,1371377482903,0,0,0,0,H2
1371377482903,1371377483403,0,0,0,0,H2
1371377483403,1371377483903,0,0,0,0,H2
1371377483903,1371377484403,0,0,0,0,H2
1371377484403,1371377484903,0,0,0,0,H2
1371377484903,1371377485403,0,0,0,0,H2
1371377485403,1371377485903,0,0,0,0,H2
1371377485903,1371377486403,0,0,0,0,H2
1371377486403,1371377486903,0,0,0,0,H2
1371377486903,1371377487403,0,0,0,0,H2
1371377487403,1371377487903,0,0,0,0,H2
1371377487903,1371377488403,0,0,0,0,H2
1371377488403,1371377488903,0,0,0,0,H2
1371377488903,1371377489403,0,0,0,0,H2
1371377489403,1371377489903,0,0,0,0,H2
1371377489903,1371377490403,0,0,0,0,H2
1371377490403,1371377490903,0,0,0,0,H2
1371377490903,1371377491403,0,0,0,0,H2
1371377491403,1371377491903,0,0,0,0,H2
1371377491903,1371377492403,0,0,0,0,H2
1371377492403,1371377492903,0,0,0,0,H2
1371377492903,1371377493403,0,0,0,0,H2
1371377493403,1371377493903,0,0,0,0,H2
1371377493903,1371377494403,0,0,0,0,H2
1371377494403,1371377494903,0,0,0,0,H2
1371377494903,1371377495403,0,0,0,0,H2
1371377495403,1371377495903,0,0,0,0,H2
1371377495903,1371377496403,0,0,0,0,H2
1371377496403,1371377496903,0,0,0,0,H2
1371377496903,1371377497403,0,0,0,0,H2
1371377497403,1371377497903,0,0,0,0,H2
1371377497903,1371377498403,0,0,0,0,H2
1371377498403,1371377498903,0,0,0,0,H2
1371377498903,1371377499403,0,0,0,0,H2
1371377499403,1371377499903,0,0,0,0,H2
1371377499903,1371377500403,0,0,0,0,H2
1371377500403,1371377500903,0,0,0,0,H2
1371377500903,1371377501403,0,0,0,0,H2
1371377501403,1371377501903,0,0,0,0,H2
1371377501903,1371377502403,0,0,0,0,H2
1371377502403,1371377502903,0,0,0,0,H2
1371377502903,1371377503403,0,0,0,0,H2
1371377503403,1371377503903,0,0,0,0,H2
1371377503903,1371377504403,0,0,0,0,H2
1371377504403,1371377504903,0,0,0,0,H2
1371377504903,1371377505403,0,0,0,0,H2
1371377505403,1371377505903,0,0,0,0,H2
1371377505903,1371377506403,0,0,0,0,H2
1371377506403,1371377506903,0,0,0,0,H2
1371377506903,1371377507403,0,0,0,0,H2
1371377507403,1371377507903,0,0,0,0,H2
1371377507903,1371377508403,0,0,0,0,H2
1371377508403,1371377508903,0,0,0,0,H2
1371377508903,1371377509403,0,0,0,0,H2
1371377509403,1371377509903,0,0,0,0,H2
1371377509903,1371377510403,0,0,0,0,H2
1371377510403,1371377510903,0,0,0,0,H2
1371377510903,1371377511403,1,0,0,0,H3
1371377511403,1371377511903,3,0,0,0,H3
1371377511903,1371377512403,1,0,0,0,H3
1371377512403,1371377512903,1,0,0,0,H3
1371377512903,1371377513403,2,0,0,0,H3
1371377513403,1371377513903,2,0,0,0,H3
1371377513903,1371377514403,4,0,0,0,H3
1371377514403,1371377514903,3,0,0,0,H3
1371377514903,1371377515403,1,0,0,0,H3
1371377515403,1371377515903,4,0,0,0,H3
1371377515903,1371377516403,3,0,0,0,H3
1371377516403,1371377516903,5,0,0,0,H3
1371377516903,1371377517403,2,0,0,0,H3
1371377517403,1371377517903,3,0,0,0,H3
1371377517903,1371377518403,2,0,0,0,H3
1371377518403,1371377518903,0,0,0,0,H2
1371377518903,1371377519403,0,2,0,0,H4
1371377519403,1371377519903,1,0,0,0,H3
1371377519903,1371377520403,3,0,0,0,H3
1371377520403,1371377520903,4,0,0,0,H3
1371377520903,1371377521403,1,0,0,0,H3
1371377521403,1371377521903,0,0,0,0,H2
1371377521903,1371377522403,0,0,0,0,H2
1371377522403,1371377522903,1,0,0,0,H3
1371377522903,1371377523403,5,0,0,0,H3
1371377523403,1371377523903,4,0,0,0,H3
1371377523903,1371377524403,2,0,0,0,H3
1371377524403,1371377524903,4,0,0,0,H3
1371377524903,1371377525403,2,0,0,0,H3
1371377525403,1371377525903,0,1,0,0,H4
1371377525903,1371377526403,0,3,0,0,H4
1371377526403,1371377526903,0,6,0,0,H4
1371377526903,1371377527403,0,2,0,0,H4
1371377527403,1371377527903,0,0,0,0,H2
1371377527903,1371377528403,0,2,0,0,H4
1371377528403,1371377528903,0,4,0,0,H4
1371377528903,1371377529403,0,3,0,0,H4
1371377529403,1371377529903,0,3,0,0,H4
1371377529903,1371377530403,0,2,0,0,H4
1371377530403,1371377530903,0,1,0,0,H4
1371377530903,1371377531403,0,0,0,0,H2
1371377531403,1371377531903,3,0,0,0,H3
1371377531903,1371377532403,2,0,0,0,H3
1371377532403,1371377532903,1,0,0,0,H3
1371377532903,1371377533403,1,0,0,0,H3
1371377533403,1371377533903,0,1,0,0,H4
1371377533903,1371377534403,0,0,0,0,H2
1371377534403,1371377534903,0,0,0,0,H2
1371377534903,1371377535403,0,0,0,0,H2
1371377535403,1371377535903,0,0,0,0,H2
1371377535903,1371377536403,0,0,0,0,H2
1371377536403,1371377536903,0,0,0,0,H2
1371377536903,1371377537403,0,0,0,0,H2
1371377537403,1371377537903,0,0,0,0,H2
1371377537903,1371377538403,0,0,0,0,H2
1371377538403,1371377538903,0,0,0,0,H2
1371377538903,1371377539403,0,0,0,0,H2
1371377539403,1371377539903,0,0,0,0,H2
1371377539903,1371377540403,0,0,0,0,H2
1371377540403,1371377540903,0,0,0,0,H2
1371377540903,1371377541403,0,0,0,0,H2
1371377541403,1371377541903,0,0,0,0,H2
1371377541903,1371377542403,1,0,0,0,H3
1371377542403,1371377542903,6,0,0,0,H3
1371377542903,1371377543403,4,0,0,0,H3
1371377543403,1371377543903,3,0,0,0,H3
1371377543903,1371377544403,1,0,0,0,H3
1371377544403,1371377544903,0,0,0,0,H2
1371377544903,1371377545403,0,0,0,0,H2
1371377545403,1371377545903,0,0,0,0,H2
1371377545903,1371377546403,0,0,0,0,H2
1371377546403,1371377546903,0,0,0,0,H2
1371377546903,1371377547403,0,0,0,0,H2
1371377547403,1371377547903,0,0,0,0,H2
1371377547903,1371377548403,0,2,0,0,H4
1371377548403,1371377548903,0,1,0,0,H4
1371377548903,1371377549403,4,0,0,0,H3
1371377549403,1371377549903,5,0,0,0,H3
1371377549903,1371377550403,1,0,0,0,H3
1371377550403,1371377550903,0,4,0,0,H4
1371377550903,1371377551403,0,2,0,0,H4
1371377551403,1371377551903,2,0,0,0,H3
1371377551903,1371377552403,4,0,0,0,H3
1371377552403,1371377552903,3,0,0,0,H3
1371377552903,1371377553403,4,0,0,0,H3
1371377553403,1371377553903,1,0,0,0,H3
1371377553903,1371377554403,3,0,0,0,H3
1371377554403,1371377554903,0,0,0,0,H2
1371377554903,1371377555403,1,0,0,0,H3
1371377555403,1371377555903,0,0,0,0,H2
1371377555903,1371377556403,0,0,0,0,H2
1371377556403,1371377556903,0,0,0,0,H2
1371377556903,1371377557403,0,0,0,0,H2
1371377557403,1371377557903,0,0,0,0,H2
1371377557903,1371377558403,0,0,0,0,H2
1371377558403,1371377558903,0,0,0,0,H2
1371377558903,1371377559403,0,0,0,0,H2
1371377559403,1371377559903,0,0,0,0,H2
1371377559903,1371377560403,0,0,0,0,H2
1371377560403,1371377560903,0,0,0,0,H2
1371377560903,1371377561403,0,0,0,0,H2
1371377561403,1371377561903,0,0,0,0,H2
1371377561903,1371377562403,0,0,0,0,H2
1371377562403,1371377562903,0,0,0,0,H2
1371377562903,1371377563403,0,0,0,0,H2
1371377563403,1371377563903,0,0,0,0,H2
1371377563903,1371377564403,0,0,0,0,H2
1371377564403,1371377564903,0,0,0,0,H2
1371377564903,1371377565403,4,0,0,0,H3
1371377565403,1371377565903,0,0,0,0,H2
